measurement_sites,radius,success,max_violation,min_demand_viol,objective,solver_status,best_bound,output_dir
"['3', '5']",0.8488897660805074,True,0.0,0.03519444158901344,0.7206138349562187,HxSolutionStatus.OPTIMAL,,data/Alperovits/5c19220f/3_5
"['3', '4']",0.9190460341113753,True,0.0,-1.999956891511999e-06,0.8446456128158473,HxSolutionStatus.OPTIMAL,,data/Alperovits/5c19220f/3_4
"['3', '6']",0.9648431838730431,True,0.0,1.8352021005740942e-07,0.9309223694662708,HxSolutionStatus.OPTIMAL,,data/Alperovits/5c19220f/3_6
"['1', '6']",1.0000919422493542,True,0.0,8.4091854952618e-08,1.0001838929520854,HxSolutionStatus.OPTIMAL,,data/Alperovits/5c19220f/1_6
"['1', '3']",1.0030669701185813,True,0.0,-3.1664483621140955e-07,1.0061433465428706,HxSolutionStatus.OPTIMAL,,data/Alperovits/5c19220f/1_3
"['4', '5']",1.0276009611767147,True,0.0,0.04012201544313601,1.0559637354113078,HxSolutionStatus.OPTIMAL,,data/Alperovits/5c19220f/4_5
"['1', '5']",1.0841323988955074,True,0.0,0.04042936453512183,1.1753430583349276,HxSolutionStatus.OPTIMAL,,data/Alperovits/5c19220f/1_5
"['2', '3']",1.0925010518938145,True,0.0,5.463151001128357e-08,1.1935585483890911,HxSolutionStatus.OPTIMAL,,data/Alperovits/5c19220f/2_3
"['5', '6']",1.1033235120188187,True,0.0,0.04042935296226527,1.21732277217354,HxSolutionStatus.OPTIMAL,,data/Alperovits/5c19220f/5_6
"['1', '4']",1.1282623033970058,True,0.0,0.0028090319553535645,1.2729758252667172,HxSolutionStatus.OPTIMAL,,data/Alperovits/5c19220f/1_4
"['1', '2']",1.1382312126234009,True,0.0,1.1733556168447383e-07,1.2955702933901376,HxSolutionStatus.OPTIMAL,,data/Alperovits/5c19220f/1_2
"['4', '6']",1.1630512342441892,True,0.0,0.0028089407026567212,1.3526881734769318,HxSolutionStatus.OPTIMAL,,data/Alperovits/5c19220f/4_6
"['2', '6']",1.1645128304276964,True,0.0,1.5800684530320557e-07,1.3560901322307248,HxSolutionStatus.OPTIMAL,,data/Alperovits/5c19220f/2_6
"['2', '4']",1.1687177735396403,True,0.0,5.316705967251072e-08,1.3659012341874541,HxSolutionStatus.OPTIMAL,,data/Alperovits/5c19220f/2_4
"['2', '5']",1.1956493405203332,True,0.0,8.660527298187764e-08,1.429577345486708,HxSolutionStatus.OPTIMAL,,data/Alperovits/5c19220f/2_5
