measurement_sites,radius,success,max_violation,min_demand_viol,objective,solver_status,best_bound,output_dir
"['3', '5']",1.5173598456270712,True,0.0,-3.3310865096736104e-07,2.3023809011214085,HxSolutionStatus.OPTIMAL,,data/Alperovits/ceba9be9/3_5
"['1', '3']",1.5245954708361396,True,0.0,4.314533921900936e-08,2.3243913496940696,HxSolutionStatus.OPTIMAL,,data/Alperovits/ceba9be9/1_3
"['3', '6']",1.5375962847563516,True,0.0,2.391544376523318e-08,2.3642023348965355,HxSolutionStatus.OPTIMAL,,data/Alperovits/ceba9be9/3_6
"['4', '6']",1.545219400106886,True,0.0,2.8156946913938486e-08,2.3877029944666845,HxSolutionStatus.OPTIMAL,,data/Alperovits/ceba9be9/4_6
"['1', '6']",1.561950681080597,True,0.0,-7.466285239965304e-08,2.439689930128141,HxSolutionStatus.OPTIMAL,,data/Alperovits/ceba9be9/1_6
"['1', '4']",1.5622717119187859,True,0.0,-2.653709401935202e-07,2.440692901861654,HxSolutionStatus.OPTIMAL,,data/Alperovits/ceba9be9/1_4
"['4', '5']",1.602500246545455,True,0.0,3.063183565232923e-08,2.5680070401782444,HxSolutionStatus.OPTIMAL,,data/Alperovits/ceba9be9/4_5
"['3', '4']",1.6070010770543408,True,0.0,-2.753977831793004e-08,2.582452461653811,HxSolutionStatus.OPTIMAL,,data/Alperovits/ceba9be9/3_4
"['2', '3']",1.6498490497828213,True,0.0,4.88438643707632e-08,2.7220018870692777,HxSolutionStatus.OPTIMAL,,data/Alperovits/ceba9be9/2_3
"['2', '4']",1.7173169952678282,True,0.0,2.5889716732564284e-08,2.949177662235722,HxSolutionStatus.OPTIMAL,,data/Alperovits/ceba9be9/2_4
"['5', '6']",1.7174251471710777,True,0.0,2.069379903646511e-08,2.949549136135598,HxSolutionStatus.OPTIMAL,,data/Alperovits/ceba9be9/5_6
"['1', '5']",1.7309696533910857,True,0.0,7.161504418263621e-09,2.9962559409608547,HxSolutionStatus.OPTIMAL,,data/Alperovits/ceba9be9/1_5
"['1', '2']",1.739013640624064,True,0.0,4.763571899047792e-09,3.0241684422765616,HxSolutionStatus.OPTIMAL,,data/Alperovits/ceba9be9/1_2
"['2', '6']",1.7395415434715642,True,0.0,1.0352082775334327e-08,3.0260047814634317,HxSolutionStatus.OPTIMAL,,data/Alperovits/ceba9be9/2_6
"['2', '5']",1.7416301118055135,True,0.0,2.560851877875341e-08,3.033275446347686,HxSolutionStatus.OPTIMAL,,data/Alperovits/ceba9be9/2_5
