measurement_sites,radius,success,max_violation,min_demand_viol,output_dir
"['110', '75']",4.879231149680085e-06,True,0.0,0.0007487724630413926,data/Anytown-B-batch-20260331-165254/110_75
"['160', '75']",4.879376238583806e-06,True,0.0,0.0007487723178655352,data/Anytown-B-batch-20260331-165254/160_75
"['75', '90']",4.906828766175588e-06,True,0.0,0.0007487711382843802,data/Anytown-B-batch-20260331-165254/75_90
"['115', '90']",4.940051676442162e-06,True,0.0,0.0007487691937423459,data/Anytown-B-batch-20260331-165254/115_90
"['140', '70']",5.0325248885659935e-06,True,0.0,0.0007487987620198112,data/Anytown-B-batch-20260331-165254/140_70
"['60', '70']",5.035250054971184e-06,True,0.0,0.0007487991254506939,data/Anytown-B-batch-20260331-165254/60_70
"['160', '70']",5.035644696271825e-06,True,0.0,0.0007487980654940506,data/Anytown-B-batch-20260331-165254/160_70
"['160', '50']",5.039835608639413e-06,True,0.0,0.0007487688048947806,data/Anytown-B-batch-20260331-165254/160_50
"['55', '60']",5.066879580916275e-06,True,0.0,0.0007487688695413812,data/Anytown-B-batch-20260331-165254/55_60
['55'],5.280662241368193e-06,True,0.0,0.0007452667617947199,data/Anytown-B-batch-20260331-165254/55
"['20', '55']",5.280662241368193e-06,True,0.0,0.0007452667617947199,data/Anytown-B-batch-20260331-165254/20_55
"['110', '115']",5.859013285694522e-06,True,0.0,0.000750240121074033,data/Anytown-B-batch-20260331-165254/110_115
"['160', '40']",6.599948043199995e-06,True,0.0,0.0007453594491493586,data/Anytown-B-batch-20260331-165254/160_40
"['130', '70']",7.234679175767607e-06,True,0.0,0.0007409270619580947,data/Anytown-B-batch-20260331-165254/130_70
"['110', '160']",7.902580381217208e-06,True,0.0,0.0007914562961912282,data/Anytown-B-batch-20260331-165254/110_160
"['120', '75']",8.37876955643011e-06,True,0.0,0.0007942769750386099,data/Anytown-B-batch-20260331-165254/120_75
"['115', '150']",9.452281987824164e-06,True,0.0,0.0007495409142536598,data/Anytown-B-batch-20260331-165254/115_150
"['40', '75']",1.0716632252543326e-05,True,0.0,0.0006998324343105512,data/Anytown-B-batch-20260331-165254/40_75
"['115', '60']",1.1084814849865465e-05,True,0.0,0.0007488851783419649,data/Anytown-B-batch-20260331-165254/115_60
"['115', '50']",1.194509818219722e-05,True,0.0,0.0007485465932925715,data/Anytown-B-batch-20260331-165254/115_50
"['40', '80']",1.2172079209745813e-05,True,0.0,0.0007476616087038489,data/Anytown-B-batch-20260331-165254/40_80
"['160', '55']",1.2675780214564027e-05,True,0.0,0.0007488865174680735,data/Anytown-B-batch-20260331-165254/160_55
"['55', '80']",1.3099600146220564e-05,True,0.0,0.0007488323442239052,data/Anytown-B-batch-20260331-165254/55_80
"['115', '140']",1.344526828403058e-05,True,0.0,0.0007486094138362275,data/Anytown-B-batch-20260331-165254/115_140
"['20', '60']",1.359808781766112e-05,True,0.0,0.0007486216484929735,data/Anytown-B-batch-20260331-165254/20_60
"['115', '80']",1.3678247457422278e-05,True,0.0,0.0007487014475744898,data/Anytown-B-batch-20260331-165254/115_80
"['170', '70']",1.544179048300739e-05,True,0.0,-1.1658674920310873e-08,data/Anytown-B-batch-20260331-165254/170_70
"['130', '55']",1.596031599695282e-05,True,0.0,0.0008050006633042321,data/Anytown-B-batch-20260331-165254/130_55
"['130', '160']",1.6124291732198203e-05,True,0.0,0.0007963435935914388,data/Anytown-B-batch-20260331-165254/130_160
"['150', '60']",1.811163270898357e-05,True,0.0,0.0008051271847489906,data/Anytown-B-batch-20260331-165254/150_60
"['40', '70']",1.8938562770017996e-05,True,0.0,0.0007491644930742457,data/Anytown-B-batch-20260331-165254/40_70
"['115', '130']",2.077968241862612e-05,True,0.0,0.0008012630138784514,data/Anytown-B-batch-20260331-165254/115_130
"['100', '70']",2.1540822618917473e-05,True,0.0,0.0006850653545807463,data/Anytown-B-batch-20260331-165254/100_70
"['115', '70']",2.248590325499834e-05,True,0.0,0.0007995539436258257,data/Anytown-B-batch-20260331-165254/115_70
"['100', '80']",2.6478876243713747e-05,True,0.0,-4.4116012923905896e-07,data/Anytown-B-batch-20260331-165254/100_80
"['60', '75']",2.7185423972643304e-05,True,0.0,1.398822766952402e-09,data/Anytown-B-batch-20260331-165254/60_75
"['30', '80']",2.728346003142487e-05,True,0.0,0.0007600403813784541,data/Anytown-B-batch-20260331-165254/30_80
"['160', '90']",2.7656863096409664e-05,True,0.0,2.2312416602208618e-05,data/Anytown-B-batch-20260331-165254/160_90
"['50', '55']",3.154165596639815e-05,True,0.0,-9.619152596580443e-11,data/Anytown-B-batch-20260331-165254/50_55
"['110', '80']",3.517759825262448e-05,True,0.0,0.0006987318881255057,data/Anytown-B-batch-20260331-165254/110_80
"['170', '55']",3.60924358796394e-05,True,0.0,0.0007807007119165151,data/Anytown-B-batch-20260331-165254/170_55
['160'],3.8016288760411114e-05,True,0.0,0.0007448019594270559,data/Anytown-B-batch-20260331-165254/160
"['160', '20']",3.8016288760411114e-05,True,0.0,0.0007448019594270559,data/Anytown-B-batch-20260331-165254/160_20
"['150', '80']",3.9869644104780715e-05,True,0.0,0.0006609928948879833,data/Anytown-B-batch-20260331-165254/150_80
"['70', '80']",4.3657635830991156e-05,True,0.0,0.0008039773340930641,data/Anytown-B-batch-20260331-165254/70_80
['80'],4.9118553498885444e-05,True,0.0,-2.3349417689998607e-08,data/Anytown-B-batch-20260331-165254/80
"['20', '80']",4.9118553498885444e-05,True,0.0,-2.3349417689998607e-08,data/Anytown-B-batch-20260331-165254/20_80
"['170', '60']",5.309270816400382e-05,True,0.0,0.0006996595173608548,data/Anytown-B-batch-20260331-165254/170_60
"['20', '70']",7.046181188282435e-05,True,0.0,-1.7768379882423071e-09,data/Anytown-B-batch-20260331-165254/20_70
['70'],7.046181188282435e-05,True,0.0,-1.7768379882423071e-09,data/Anytown-B-batch-20260331-165254/70
"['120', '60']",8.365324481145374e-05,True,0.0,-3.0473969166554714e-08,data/Anytown-B-batch-20260331-165254/120_60
"['70', '75']",9.247390190024331e-05,True,0.0,0.000734171900478844,data/Anytown-B-batch-20260331-165254/70_75
"['50', '70']",0.0001030746722256624,True,0.0,-4.1356740239749844e-08,data/Anytown-B-batch-20260331-165254/50_70
"['115', '40']",0.00017970119800591306,True,0.0,0.0006534042893846455,data/Anytown-B-batch-20260331-165254/115_40
"['160', '30']",0.00018129166929756912,True,0.0,0.000652895227454862,data/Anytown-B-batch-20260331-165254/160_30
"['40', '55']",0.00020111199630127119,True,0.0,0.0006509222327303897,data/Anytown-B-batch-20260331-165254/40_55
"['55', '70']",0.0002025771017985693,True,0.0,0.0006528028131835849,data/Anytown-B-batch-20260331-165254/55_70
"['150', '75']",0.00020382038466078834,True,0.0,0.000653038305160913,data/Anytown-B-batch-20260331-165254/150_75
"['30', '70']",0.0002094189204067911,True,0.0,0.0006527333821943353,data/Anytown-B-batch-20260331-165254/30_70
"['115', '55']",0.00021289157809815972,True,0.0,0.0006538908978148207,data/Anytown-B-batch-20260331-165254/115_55
"['100', '55']",0.00021293353463421171,True,0.0,0.00065371534750456,data/Anytown-B-batch-20260331-165254/100_55
"['120', '55']",0.0002131549879330033,True,0.0,0.0006532895348013375,data/Anytown-B-batch-20260331-165254/120_55
"['115', '170']",0.0002172406136793785,True,0.0,0.0006509819197628521,data/Anytown-B-batch-20260331-165254/115_170
"['160', '80']",0.00022242582448977024,True,0.0,0.0006517266347568158,data/Anytown-B-batch-20260331-165254/160_80
"['140', '75']",0.0002239747459738055,True,0.0,-5.924643200681525e-07,data/Anytown-B-batch-20260331-165254/140_75
"['50', '75']",0.00022416929216351653,True,0.0,0.000654425536401473,data/Anytown-B-batch-20260331-165254/50_75
"['55', '90']",0.00022478495221268685,True,0.0,0.0006545174653111936,data/Anytown-B-batch-20260331-165254/55_90
"['140', '160']",0.00022596373511480554,True,0.0,0.0006546954365253414,data/Anytown-B-batch-20260331-165254/140_160
"['80', '90']",0.0002268247667704354,True,0.0,0.0006424190946491072,data/Anytown-B-batch-20260331-165254/80_90
"['110', '70']",0.0002273023656550546,True,0.0,0.0006539088089619764,data/Anytown-B-batch-20260331-165254/110_70
"['100', '115']",0.0002279996610634521,True,0.0,0.0006534886489386337,data/Anytown-B-batch-20260331-165254/100_115
"['115', '30']",0.00022864815561813407,True,0.0,0.0006539656765449732,data/Anytown-B-batch-20260331-165254/115_30
"['50', '80']",0.0002319765011076775,True,0.0,0.0006456182970126313,data/Anytown-B-batch-20260331-165254/50_80
"['140', '55']",0.00023327044454286633,True,0.0,0.0006527116935626877,data/Anytown-B-batch-20260331-165254/140_55
"['130', '75']",0.00023419279425196626,True,0.0,0.0006510874231092793,data/Anytown-B-batch-20260331-165254/130_75
"['160', '170']",0.00023659399518863308,True,0.0,0.0006537294094783745,data/Anytown-B-batch-20260331-165254/160_170
"['55', '75']",0.00023853938652100456,True,0.0,0.0006511094350820239,data/Anytown-B-batch-20260331-165254/55_75
['60'],0.00024040930069255565,True,0.0,-4.9023618573339655e-08,data/Anytown-B-batch-20260331-165254/60
"['75', '80']",0.0002493592624671913,True,0.0,2.51159451713462e-06,data/Anytown-B-batch-20260331-165254/75_80
"['140', '80']",0.00040189153811022677,True,0.0,-9.673335903185855e-07,data/Anytown-B-batch-20260331-165254/140_80
"['115', '160']",0.0004293965872654037,True,0.0,0.00023157251163373572,data/Anytown-B-batch-20260331-165254/115_160
"['150', '160']",0.00045272440147467425,True,0.0,-8.858672530848062e-08,data/Anytown-B-batch-20260331-165254/150_160
"['130', '170']",0.0005244806129646878,True,0.0,0.00010235258535272563,data/Anytown-B-batch-20260331-165254/130_170
"['170', '75']",0.0013949005377858566,True,0.0,-8.708444671480233e-07,data/Anytown-B-batch-20260331-165254/170_75
"['110', '55']",0.0015286785665052152,True,0.0,0.0001594552841452181,data/Anytown-B-batch-20260331-165254/110_55
"['150', '55']",0.0018163154355922797,True,0.0,1.7209516354644673e-08,data/Anytown-B-batch-20260331-165254/150_55
"['115', '120']",0.001931733173021925,True,0.0,-8.500203565107713e-07,data/Anytown-B-batch-20260331-165254/115_120
"['110', '140']",0.002052062443426207,True,0.0,0.0005269581950999451,data/Anytown-B-batch-20260331-165254/110_140
"['130', '30']",0.002273121279323704,True,0.0,0.00031339472466343596,data/Anytown-B-batch-20260331-165254/130_30
