measurement_sites,radius,success,max_violation,min_demand_viol,objective,solver_status,best_bound,output_dir
['55'],0.0024701045299533645,True,0.0,-8.373999437521946e-08,6.1014163888961315e-06,HxSolutionStatus.FEASIBLE,,data/Anytown-B-batch-20260401-105355/55
['75'],0.004516248030672871,True,0.0,0.00046147332679288236,2.0396496274556588e-05,HxSolutionStatus.FEASIBLE,,data/Anytown-B-batch-20260401-105355/75
['115'],0.022406564235738134,True,0.0,5.541756599174958e-05,0.0005020541208502593,HxSolutionStatus.FEASIBLE,,data/Anytown-B-batch-20260401-105355/115
['140'],0.029517217091686858,True,0.0,-1.9998638942146362e-06,0.0008712661048377709,HxSolutionStatus.FEASIBLE,,data/Anytown-B-batch-20260401-105355/140
['150'],0.03010420919074905,True,0.0,-1.9931281171673964e-06,0.0009062634110003794,HxSolutionStatus.FEASIBLE,,data/Anytown-B-batch-20260401-105355/150
['110'],0.03134701612037064,True,0.0,-1.9996187005020804e-06,0.000982635419650777,HxSolutionStatus.FEASIBLE,,data/Anytown-B-batch-20260401-105355/110
['30'],0.03164104443408849,True,0.0,-1.9999591340723033e-06,0.001001155692879962,HxSolutionStatus.FEASIBLE,,data/Anytown-B-batch-20260401-105355/30
['60'],0.03167156505154068,True,0.0,-1.9999505706376197e-06,0.001003088032813973,HxSolutionStatus.FEASIBLE,,data/Anytown-B-batch-20260401-105355/60
['50'],0.03167465165154982,True,0.0,-1.999253689501489e-06,0.001003283557247028,HxSolutionStatus.FEASIBLE,,data/Anytown-B-batch-20260401-105355/50
['90'],0.03173018389095595,True,0.0,-1.9985467128367784e-06,0.0010068045697538808,HxSolutionStatus.FEASIBLE,,data/Anytown-B-batch-20260401-105355/90
['70'],0.03217822051788592,True,0.0,-1.999997686254583e-06,0.0010354378756976942,HxSolutionStatus.FEASIBLE,,data/Anytown-B-batch-20260401-105355/70
['160'],0.03219074474330117,True,0.0,-1.999847384025587e-06,0.0010362440471283717,HxSolutionStatus.FEASIBLE,,data/Anytown-B-batch-20260401-105355/160
['130'],0.03247356060920527,True,0.0,-5.613909623548565e-07,0.001054532138639728,HxSolutionStatus.FEASIBLE,,data/Anytown-B-batch-20260401-105355/130
['40'],0.03283771723154501,True,0.0,-1.9999943477931314e-06,0.001078315672978908,HxSolutionStatus.FEASIBLE,,data/Anytown-B-batch-20260401-105355/40
['80'],0.0329657709032545,True,0.0,-1.9983982564160107e-06,0.0010867420512458606,HxSolutionStatus.FEASIBLE,,data/Anytown-B-batch-20260401-105355/80
['100'],0.033081813566008256,True,0.0,-1.9999948558450653e-06,0.001094406388816128,HxSolutionStatus.FEASIBLE,,data/Anytown-B-batch-20260401-105355/100
[],0.03308243200650012,True,0.0,-1.9999434665494686e-06,0.0010944473074647036,HxSolutionStatus.FEASIBLE,,data/Anytown-B-batch-20260401-105355/none
['20'],0.0330828342723363,True,0.0,-1.999951778525576e-06,0.0010944739234908692,HxSolutionStatus.FEASIBLE,,data/Anytown-B-batch-20260401-105355/20
['170'],0.03317517530848545,True,0.0,4.8194382189567124e-05,0.0011005922567487426,HxSolutionStatus.FEASIBLE,,data/Anytown-B-batch-20260401-105355/170
['120'],0.033396878153724115,True,0.0,1.9456181850441383e-07,0.0011153514704146947,HxSolutionStatus.FEASIBLE,,data/Anytown-B-batch-20260401-105355/120
