measurement_sites,radius,success,max_violation,min_demand_viol,objective,solver_status,best_bound,output_dir
"['1', '6']",0.07165391340928948,True,0.0,0.0765373210952092,0.005134283306865955,HxSolutionStatus.OPTIMAL,,data/Alperovits/4e13e1d6/1_6
"['4', '5']",0.08486316576165516,True,0.0,0.08161345275408086,0.007201756903090159,HxSolutionStatus.OPTIMAL,,data/Alperovits/4e13e1d6/4_5
"['1', '5']",0.08983726541238027,True,0.0,0.08028427448286099,0.008070734256774457,HxSolutionStatus.OPTIMAL,,data/Alperovits/4e13e1d6/1_5
"['3', '5']",0.09048299691604926,True,0.0,0.09999896423725022,0.00818717273090978,HxSolutionStatus.OPTIMAL,,data/Alperovits/4e13e1d6/3_5
"['5', '6']",0.09104042808845207,True,0.0,0.08161344774673038,0.008288359546528611,HxSolutionStatus.OPTIMAL,,data/Alperovits/4e13e1d6/5_6
"['3', '4']",0.09346091421360944,True,0.0,0.09223399008765601,0.008734942485643663,HxSolutionStatus.OPTIMAL,,data/Alperovits/4e13e1d6/3_4
"['1', '4']",0.09354305340943525,True,0.0,0.07402802795772809,0.008750302841160455,HxSolutionStatus.OPTIMAL,,data/Alperovits/4e13e1d6/1_4
"['3', '6']",0.09382804146946193,True,0.0,0.09151234030485081,0.00880370136599507,HxSolutionStatus.OPTIMAL,,data/Alperovits/4e13e1d6/3_6
"['2', '5']",0.09802830386465144,True,0.0,0.08161344346324798,0.009609548358580437,HxSolutionStatus.OPTIMAL,,data/Alperovits/4e13e1d6/2_5
"['1', '3']",0.09922313765201914,True,0.0,0.08300193502420602,0.009845231045511537,HxSolutionStatus.OPTIMAL,,data/Alperovits/4e13e1d6/1_3
"['4', '6']",0.10146067648747699,True,0.0,0.07402806845599355,0.010294268873296465,HxSolutionStatus.OPTIMAL,,data/Alperovits/4e13e1d6/4_6
"['2', '3']",0.10196706054627236,True,0.0,0.07950408275901386,0.010397281436447173,HxSolutionStatus.OPTIMAL,,data/Alperovits/4e13e1d6/2_3
"['2', '4']",0.10237625682729545,True,0.0,0.07402803157515372,0.010480897961968357,HxSolutionStatus.OPTIMAL,,data/Alperovits/4e13e1d6/2_4
"['1', '2']",0.10244413509374431,True,0.0,0.0765397355980734,0.010494800815105334,HxSolutionStatus.OPTIMAL,,data/Alperovits/4e13e1d6/1_2
"['2', '6']",0.10285514793590769,True,0.0,0.07332272484083138,0.010579181456917455,HxSolutionStatus.OPTIMAL,,data/Alperovits/4e13e1d6/2_6
